filename,width,height,class,xmin,ymin,xmax,ymax
Abyssinian_1.jpg,600,400,cat,333,72,425,158
Abyssinian_10.jpg,375,500,cat,72,105,288,291
Abyssinian_100.jpg,394,500,cat,151,71,335,267
Abyssinian_101.jpg,450,313,cat,54,36,319,235
Abyssinian_102.jpg,500,465,cat,23,27,325,320
Abyssinian_103.jpg,500,351,cat,241,68,362,196
Abyssinian_105.jpg,500,375,cat,237,101,373,227
Abyssinian_106.jpg,1536,1024,cat,861,156,1302,563
Abyssinian_107.jpg,500,448,cat,94,76,275,271
Abyssinian_108.jpg,500,404,cat,50,14,336,304
Abyssinian_109.jpg,282,450,cat,81,7,246,146
Abyssinian_11.jpg,192,288,cat,43,57,94,105
Abyssinian_110.jpg,400,319,cat,25,8,175,162
Abyssinian_111.jpg,500,402,cat,298,94,423,213
Abyssinian_112.jpg,490,500,cat,112,17,433,340
Abyssinian_113.jpg,640,425,cat,300,95,403,196
Abyssinian_114.jpg,640,423,cat,222,64,351,185
Abyssinian_115.jpg,500,367,cat,238,52,391,175
Abyssinian_116.jpg,333,500,cat,71,43,249,190
Abyssinian_117.jpg,500,401,cat,72,102,217,222
Abyssinian_118.jpg,333,500,cat,1,34,257,303
Abyssinian_119.jpg,300,297,cat,39,51,156,179
Abyssinian_12.jpg,335,500,cat,94,83,211,190
Abyssinian_120.jpg,267,400,cat,63,85,166,180
Abyssinian_121.jpg,242,233,cat,68,13,195,138
Abyssinian_122.jpg,300,278,cat,195,10,278,100
Abyssinian_123.jpg,500,333,cat,153,81,333,221
Abyssinian_124.jpg,333,500,cat,88,94,207,195
Abyssinian_125.jpg,500,359,cat,215,23,393,176
Abyssinian_126.jpg,500,423,cat,88,87,204,182
Abyssinian_127.jpg,266,400,cat,96,246,179,328
Abyssinian_128.jpg,500,375,cat,46,22,166,168
Abyssinian_129.jpg,333,500,cat,114,94,252,224
Abyssinian_13.jpg,245,280,cat,145,25,218,96
Abyssinian_130.jpg,333,500,cat,93,85,255,230
Abyssinian_131.jpg,311,320,cat,17,25,206,180
Abyssinian_132.jpg,500,333,cat,200,106,278,179
Abyssinian_133.jpg,700,496,cat,63,50,219,227
